question_id,category,question,golden_answer,source_document,chunk_id,similarity_score,confidence_score,keywords_used,coverage_status,reason_if_missing,missing_topic,possible_document_required
130,Facilities,What cafeteria and food facilities are available on campus?,"UIET Department Syllabus & Lab info: 1) Syllabus of CSE (Computer Science and Engineering) :-
First semester subjects of CSE :- Mathematics-I, Physics-I, Engineering Drawing, Programming in C & Unix, Communicative English, Universal Human Values-I (SIP)
Second semester subjects of CSE :- Mathematics-II, Physics-II, Chemistry-I, Basic Electrical & Electronics Engg., Workshop Concepts
T...",syllabus_and_lab_of_uiet.txt,chunk_1,0.85,0.88,"['cafeteria', 'food', 'facilities', 'available', 'campus']",Covered,,,
131,Syllabus_Labs,What labs are available for Computer Science & Engineering students?,"UIET Department Syllabus & Lab info: 1) Syllabus of CSE (Computer Science and Engineering) :-
First semester subjects of CSE :- Mathematics-I, Physics-I, Engineering Drawing, Programming in C & Unix, Communicative English, Universal Human Values-I (SIP)
Second semester subjects of CSE :- Mathematics-II, Physics-II, Chemistry-I, Basic Electrical & Electronics Engg., Workshop Concepts
T...",syllabus_and_lab_of_uiet.txt,chunk_1,0.85,0.88,"['labs', 'available', 'computer', 'science', 'engineering', 'students']",Covered,,,
132,Syllabus_Labs,Tell me about the AI & Machine Learning Lab at UIET.,"UIET Department Syllabus & Lab info: 1) Syllabus of CSE (Computer Science and Engineering) :-
First semester subjects of CSE :- Mathematics-I, Physics-I, Engineering Drawing, Programming in C & Unix, Communicative English, Universal Human Values-I (SIP)
Second semester subjects of CSE :- Mathematics-II, Physics-II, Chemistry-I, Basic Electrical & Electronics Engg., Workshop Concepts
T...",syllabus_and_lab_of_uiet.txt,chunk_1,0.85,0.88,"['machine', 'learning', 'lab']",Covered,,,
133,Syllabus_Labs,Tell me about the Networking & Cybersecurity Lab at UIET.,"UIET Department Syllabus & Lab info: 1) Syllabus of CSE (Computer Science and Engineering) :-
First semester subjects of CSE :- Mathematics-I, Physics-I, Engineering Drawing, Programming in C & Unix, Communicative English, Universal Human Values-I (SIP)
Second semester subjects of CSE :- Mathematics-II, Physics-II, Chemistry-I, Basic Electrical & Electronics Engg., Workshop Concepts
T...",syllabus_and_lab_of_uiet.txt,chunk_1,0.85,0.88,"['networking', 'cybersecurity', 'lab']",Covered,,,
134,Syllabus_Labs,What lab facilities exist in Electronics & Communication Engineering?,"UIET Department Syllabus & Lab info: 1) Syllabus of CSE (Computer Science and Engineering) :-
First semester subjects of CSE :- Mathematics-I, Physics-I, Engineering Drawing, Programming in C & Unix, Communicative English, Universal Human Values-I (SIP)
Second semester subjects of CSE :- Mathematics-II, Physics-II, Chemistry-I, Basic Electrical & Electronics Engg., Workshop Concepts
T...",syllabus_and_lab_of_uiet.txt,chunk_1,0.85,0.88,"['lab', 'facilities', 'exist', 'electronics', 'communication', 'engineering']",Covered,,,
135,Syllabus_Labs,Tell me about the VLSI & System Design Lab at UIET.,"UIET Department Syllabus & Lab info: 1) Syllabus of CSE (Computer Science and Engineering) :-
First semester subjects of CSE :- Mathematics-I, Physics-I, Engineering Drawing, Programming in C & Unix, Communicative English, Universal Human Values-I (SIP)
Second semester subjects of CSE :- Mathematics-II, Physics-II, Chemistry-I, Basic Electrical & Electronics Engg., Workshop Concepts
T...",syllabus_and_lab_of_uiet.txt,chunk_1,0.85,0.88,"['vlsi', 'system', 'design', 'lab']",Covered,,,
136,Syllabus_Labs,What lab facilities exist in Chemical Engineering?,"UIET Department Syllabus & Lab info: 1) Syllabus of CSE (Computer Science and Engineering) :-
First semester subjects of CSE :- Mathematics-I, Physics-I, Engineering Drawing, Programming in C & Unix, Communicative English, Universal Human Values-I (SIP)
Second semester subjects of CSE :- Mathematics-II, Physics-II, Chemistry-I, Basic Electrical & Electronics Engg., Workshop Concepts
T...",syllabus_and_lab_of_uiet.txt,chunk_1,0.85,0.88,"['lab', 'facilities', 'exist', 'chemical', 'engineering']",Covered,,,
137,Syllabus_Labs,Tell me about the Heat Transfer and Fluid Mechanics Lab.,"UIET Department Syllabus & Lab info: 1) Syllabus of CSE (Computer Science and Engineering) :-
First semester subjects of CSE :- Mathematics-I, Physics-I, Engineering Drawing, Programming in C & Unix, Communicative English, Universal Human Values-I (SIP)
Second semester subjects of CSE :- Mathematics-II, Physics-II, Chemistry-I, Basic Electrical & Electronics Engg., Workshop Concepts
T...",syllabus_and_lab_of_uiet.txt,chunk_1,0.85,0.88,"['heat', 'transfer', 'fluid', 'mechanics', 'lab']",Covered,,,
138,Syllabus_Labs,What lab facilities exist in Mechanical Engineering?,"UIET Department Syllabus & Lab info: 1) Syllabus of CSE (Computer Science and Engineering) :-
First semester subjects of CSE :- Mathematics-I, Physics-I, Engineering Drawing, Programming in C & Unix, Communicative English, Universal Human Values-I (SIP)
Second semester subjects of CSE :- Mathematics-II, Physics-II, Chemistry-I, Basic Electrical & Electronics Engg., Workshop Concepts
T...",syllabus_and_lab_of_uiet.txt,chunk_1,0.85,0.88,"['lab', 'facilities', 'exist', 'mechanical', 'engineering']",Covered,,,
139,Syllabus_Labs,Tell me about the CAD/CAM Automation Lab at UIET.,"UIET Department Syllabus & Lab info: 1) Syllabus of CSE (Computer Science and Engineering) :-
First semester subjects of CSE :- Mathematics-I, Physics-I, Engineering Drawing, Programming in C & Unix, Communicative English, Universal Human Values-I (SIP)
Second semester subjects of CSE :- Mathematics-II, Physics-II, Chemistry-I, Basic Electrical & Electronics Engg., Workshop Concepts
T...",syllabus_and_lab_of_uiet.txt,chunk_1,0.85,0.88,"['cad', 'cam', 'automation', 'lab']",Covered,,,
140,Syllabus_Labs,What lab facilities exist in Material Science & Metallurgical Engineering?,"UIET Department Syllabus & Lab info: 1) Syllabus of CSE (Computer Science and Engineering) :-
First semester subjects of CSE :- Mathematics-I, Physics-I, Engineering Drawing, Programming in C & Unix, Communicative English, Universal Human Values-I (SIP)
Second semester subjects of CSE :- Mathematics-II, Physics-II, Chemistry-I, Basic Electrical & Electronics Engg., Workshop Concepts
T...",syllabus_and_lab_of_uiet.txt,chunk_1,0.85,0.88,"['lab', 'facilities', 'exist', 'material', 'science', 'metallurgical', 'engineering']",Covered,,,
141,Syllabus_Labs,Tell me about the Metallography & Optical Microscopy Lab.,"UIET Department Syllabus & Lab info: 1) Syllabus of CSE (Computer Science and Engineering) :-
First semester subjects of CSE :- Mathematics-I, Physics-I, Engineering Drawing, Programming in C & Unix, Communicative English, Universal Human Values-I (SIP)
Second semester subjects of CSE :- Mathematics-II, Physics-II, Chemistry-I, Basic Electrical & Electronics Engg., Workshop Concepts
T...",syllabus_and_lab_of_uiet.txt,chunk_1,0.85,0.88,"['metallography', 'optical', 'microscopy', 'lab']",Covered,,,
142,Syllabus_Labs,What credit system is followed in UIET engineering curriculum?,Information is not available in the current CSJMU/UIET knowledge base documents.,N/A,N/A,0.15,0.1,"['credit', 'system', 'followed', 'engineering', 'curriculum']",Missing,No document in the knowledge base addresses this specific question regarding Syllabus_Labs.,Syllabus_Labs Information,csjmu_syllabus_labs_handbook.pdf
143,Syllabus_Labs,How many semesters are in B.Tech program at UIET?,Information is not available in the current CSJMU/UIET knowledge base documents.,N/A,N/A,0.15,0.1,"['many', 'semesters', 'b.tech', 'program']",Missing,No document in the knowledge base addresses this specific question regarding Syllabus_Labs.,Syllabus_Labs Information,csjmu_syllabus_labs_handbook.pdf
144,Syllabus_Labs,How many semesters are in M.Tech program at UIET?,Information is not available in the current CSJMU/UIET knowledge base documents.,N/A,N/A,0.15,0.1,"['many', 'semesters', 'm.tech', 'program']",Missing,No document in the knowledge base addresses this specific question regarding Syllabus_Labs.,Syllabus_Labs Information,csjmu_syllabus_labs_handbook.pdf
145,Syllabus_Labs,How are mid-semester and end-semester exams evaluated?,Information is not available in the current CSJMU/UIET knowledge base documents.,N/A,N/A,0.15,0.1,"['mid-semester', 'end-semester', 'exams', 'evaluated']",Missing,No document in the knowledge base addresses this specific question regarding Syllabus_Labs.,Syllabus_Labs Information,csjmu_syllabus_labs_handbook.pdf
146,Alumni,Who are some distinguished alumni of CSJMU?,"ABOUT CHHATRAPATI SHAHU JI MAHARAJ UNIVERSITY (CSJMU) :- Chhatrapati Shahu Ji Maharaj (CSJM) University, situated in Kanpur, Uttar Pradesh, shines as a symbol of excellence in the higher education landscape of India. Accredited with the highest NAAC grade of A++, it is recognized as one of the most esteemed and rapidly advancing state universities in the country. Recently designated as a Tier-I University/Institution by the University Grants Comm...",about_csjm.txt,chunk_2,0.83,0.85,"['some', 'distinguished', 'alumni']",Covered,,,
147,Alumni,Give details about notable alumni from the science and technology department.,"ABOUT CHHATRAPATI SHAHU JI MAHARAJ UNIVERSITY (CSJMU) :- Chhatrapati Shahu Ji Maharaj (CSJM) University, situated in Kanpur, Uttar Pradesh, shines as a symbol of excellence in the higher education landscape of India. Accredited with the highest NAAC grade of A++, it is recognized as one of the most esteemed and rapidly advancing state universities in the country. Recently designated as a Tier-I University/Institution by the University Grants Comm...",about_csjm.txt,chunk_2,0.95,0.95,"['notable', 'alumni', 'science', 'technology', 'department']",Covered,,,
148,Alumni,In what year did prominent alumni graduate from CSJMU?,"ABOUT CHHATRAPATI SHAHU JI MAHARAJ UNIVERSITY (CSJMU) :- Chhatrapati Shahu Ji Maharaj (CSJM) University, situated in Kanpur, Uttar Pradesh, shines as a symbol of excellence in the higher education landscape of India. Accredited with the highest NAAC grade of A++, it is recognized as one of the most esteemed and rapidly advancing state universities in the country. Recently designated as a Tier-I University/Institution by the University Grants Comm...",about_csjm.txt,chunk_0,0.77,0.8,"['year', 'prominent', 'alumni', 'graduate']",Covered,,,
149,Alumni,What achievements are listed for CSJMU alumni?,"ABOUT CHHATRAPATI SHAHU JI MAHARAJ UNIVERSITY (CSJMU) :- Chhatrapati Shahu Ji Maharaj (CSJM) University, situated in Kanpur, Uttar Pradesh, shines as a symbol of excellence in the higher education landscape of India. Accredited with the highest NAAC grade of A++, it is recognized as one of the most ...",about_csjm.txt,chunk_0,0.55,0.5,"['achievements', 'listed', 'alumni']",Partial,Document provides partial context but lacks complete answer details.,Alumni Details,csjmu_alumni_extended_info.pdf
150,Alumni,Does CSJMU have an Alumni Association?,"ABOUT CHHATRAPATI SHAHU JI MAHARAJ UNIVERSITY (CSJMU) :- Chhatrapati Shahu Ji Maharaj (CSJM) University, situated in Kanpur, Uttar Pradesh, shines as a symbol of excellence in the higher education landscape of India. Accredited with the highest NAAC grade of A++, it is recognized as one of the most esteemed and rapidly advancing state universities in the country. Recently designated as a Tier-I University/Institution by the University Grants Comm...",about_csjm.txt,chunk_0,0.77,0.8,"['alumni', 'association']",Covered,,,
151,Approved_Boards,Are boards recognised by COBSE accepted by CSJMU?,Cambridge International Examination (CIE) is one of the approved boards accepted by CSJMU. Its address is .,approved_boards.json,chunk_8,0.77,0.8,"['boards', 'recognised', 'cobse', 'accepted']",Covered,,,
152,Approved_Boards,Is UP Board recognised for admission to CSJMU?,GUIDELINES FOR ADMISSION TO UNIVERSITY CAMPUS/AFFILIATED COLLEGES  1. The detailed information of the admission procedure will be displayed on the University website (www.csjmu.ac.in). Candidates are advised to check the University website regularly for updates.   2. All admissions to different programmes running in the University campus or affiliated colleges of CSJM University will be made through the Admission Portal available on the Universit...,guidelines_for_admission.txt,chunk_0,0.83,0.85,"['board', 'recognised', 'admission']",Covered,,,
153,Approved_Boards,Is CBSE recognised for admission to CSJMU?,"Central Board of Secondary Education (CBSE) is one of the approved boards accepted by CSJMU. Its address is Community Centre, Shiksha Kendra, Preet Vihar, Delhi.",approved_boards.json,chunk_9,0.55,0.5,"['cbse', 'recognised', 'admission']",Partial,Document provides partial context but lacks complete answer details.,Approved_Boards Details,csjmu_approved_boards_extended_info.pdf
154,Approved_Boards,Is ICSE/ISC board recognised by CSJMU?,Cambridge International Examination (CIE) is one of the approved boards accepted by CSJMU. Its address is .,approved_boards.json,chunk_8,0.55,0.5,"['icse', 'isc', 'board', 'recognised']",Partial,Document provides partial context but lacks complete answer details.,Approved_Boards Details,csjmu_approved_boards_extended_info.pdf
155,Approved_Boards,Is National Institute of Open Schooling (NIOS) recognised?,"National Institute of Open Schooling (NIOS) is one of the approved boards accepted by CSJMU. Its address is B-31B, Kailash Colony, New Delhi.",approved_boards.json,chunk_33,0.89,0.9,"['national', 'institute', 'open', 'schooling', 'nios', 'recognised']",Covered,,,
156,Approved_Boards,What is the policy regarding unrecognised fake boards?,Information is not available in the current CSJMU/UIET knowledge base documents.,N/A,N/A,0.15,0.1,"['policy', 'regarding', 'unrecognised', 'fake', 'boards']",Missing,No document in the knowledge base addresses this specific question regarding Approved_Boards.,Approved_Boards Information,csjmu_approved_boards_handbook.pdf
157,Approved_Boards,Where can candidates verify board recognition status?,Information is not available in the current CSJMU/UIET knowledge base documents.,N/A,N/A,0.15,0.1,"['candidates', 'verify', 'board', 'recognition', 'status']",Missing,No document in the knowledge base addresses this specific question regarding Approved_Boards.,Approved_Boards Information,csjmu_approved_boards_handbook.pdf
158,Innovation,What is the CSJMU Innovation Foundation?,"CSJMIF Overview  Fostering Innovation, Igniting Change CHHATRAPATI SHAHU JI MAHARAJ INNOVATION FOUNDATION SECTION 8 TECH BUSINESS INCUBATOR PROMOTED BY CSJM UNIVERSITY KANPUR Logo: CSJMIF  We provide hand holding and nurturing that can help start ups and entrepreneurs succeed in today's ever-changing world.  Key Metrics: Greater than 200 Events 39 Start Ups Greater than 10 Sectors Greater than 50 Cr Start Up Turn Over Greater than 150 Employed  P...",innovation_foundation.txt,chunk_0,0.95,0.95,"['innovation', 'foundation']",Covered,,,
159,Innovation,What support does CSJMU provide to student startups and incubatees?,"CSJMIF Overview  Fostering Innovation, Igniting Change CHHATRAPATI SHAHU JI MAHARAJ INNOVATION FOUNDATION SECTION 8 TECH BUSINESS INCUBATOR PROMOTED BY CSJM UNIVERSITY KANPUR Logo: CSJMIF  We provide hand holding and nurturing that can help start ups and entrepreneurs succeed in today's ever-changin...",innovation_foundation.txt,chunk_0,0.55,0.5,"['support', 'provide', 'student', 'startups', 'incubatees']",Partial,Document provides partial context but lacks complete answer details.,Innovation Details,csjmu_innovation_extended_info.pdf
160,Innovation,Does CSJMU have an incubation center or startup park?,"CSJMIF Overview  Fostering Innovation, Igniting Change CHHATRAPATI SHAHU JI MAHARAJ INNOVATION FOUNDATION SECTION 8 TECH BUSINESS INCUBATOR PROMOTED BY CSJM UNIVERSITY KANPUR Logo: CSJMIF  We provide hand holding and nurturing that can help start ups and entrepreneurs succeed in today's ever-changing world.  Key Metrics: Greater than 200 Events 39 Start Ups Greater than 10 Sectors Greater than 50 Cr Start Up Turn Over Greater than 150 Employed  P...",innovation_foundation.txt,chunk_0,0.77,0.8,"['incubation', 'center', 'startup', 'park']",Covered,,,
161,Dignitaries,What message does the Vice-Chancellor give to new students?,"MESSAGE FROM VICE CHANCELLOR :- It gives me immense pleasure to welcome you to our dynamic university campus. CSJMU is currently at the height of its academic excellence. We are a NAAC A++ graded university, which also has been recognized as a Grade I institution by the University Grants Commission. We have an impressive presence in the national and international rankings. The rankings, however, cannot capture the vibrancy of the campus, the cult...",dignities_messages.txt,chunk_2,0.77,0.8,"['message', 'vice-chancellor', 'new', 'students']",Covered,,,
162,Dignitaries,What is the vision of CSJMU according to university leadership?,Information is not available in the current CSJMU/UIET knowledge base documents.,N/A,N/A,0.15,0.1,"['vision', 'according', 'leadership']",Missing,No document in the knowledge base addresses this specific question regarding Dignitaries.,Dignitaries Information,csjmu_dignitaries_handbook.pdf
163,Courses,What undergraduate degree courses are offered at CSJMU?,"ABOUT CHHATRAPATI SHAHU JI MAHARAJ UNIVERSITY (CSJMU) :- Chhatrapati Shahu Ji Maharaj (CSJM) University, situated in Kanpur, Uttar Pradesh, shines as a symbol of excellence in the higher education landscape of India. Accredited with the highest NAAC grade of A++, it is recognized as one of the most ...",about_csjm.txt,chunk_0,0.55,0.5,"['undergraduate', 'degree', 'courses', 'offered']",Partial,Document provides partial context but lacks complete answer details.,Courses Details,csjmu_courses_extended_info.pdf
164,Courses,What postgraduate degree courses are offered at CSJMU?,"8. For admission to the postgraduate programmes of the University, a candidate should have completed graduation (Three-year Degree Programme) from the University or from any Indian University recognized by CSJM University in the subject offered at the University as per the pre-requisite in the subject in which admission is sought.",guidelines_for_admission.txt,chunk_9,0.86,0.88,"['postgraduate', 'degree', 'courses', 'offered']",Covered,,,
165,Courses,What diploma and certificate courses are available?,"UIET Department Syllabus & Lab info: 1) Syllabus of CSE (Computer Science and Engineering) :-
First semester subjects of CSE :- Mathematics-I, Physics-I, Engineering Drawing, Programming in C & Unix, Communicative English, Universal Human Values-I (SIP)
Second semester subjects of CSE :- Mathematics-II, Physics-II, Chemistry-I, Basic Electrical & Electronics Engg., Workshop Concepts
T...",syllabus_and_lab_of_uiet.txt,chunk_1,0.85,0.88,"['diploma', 'certificate', 'courses', 'available']",Covered,,,
166,Courses,What integrated programs are available at CSJMU?,"UIET Department Syllabus & Lab info: 1) Syllabus of CSE (Computer Science and Engineering) :-
First semester subjects of CSE :- Mathematics-I, Physics-I, Engineering Drawing, Programming in C & Unix, Communicative English, Universal Human Values-I (SIP)
Second semester subjects of CSE :- Mathematics-II, Physics-II, Chemistry-I, Basic Electrical & Electronics Engg., Workshop Concepts
T...",syllabus_and_lab_of_uiet.txt,chunk_1,0.85,0.88,"['integrated', 'programs', 'available']",Covered,,,
167,Courses,Is Ph.D. program offered at CSJMU?,"ABOUT CHHATRAPATI SHAHU JI MAHARAJ UNIVERSITY (CSJMU) :- Chhatrapati Shahu Ji Maharaj (CSJM) University, situated in Kanpur, Uttar Pradesh, shines as a symbol of excellence in the higher education landscape of India. Accredited with the highest NAAC grade of A++, it is recognized as one of the most ...",about_csjm.txt,chunk_0,0.55,0.5,"['ph.d', 'program', 'offered']",Partial,Document provides partial context but lacks complete answer details.,Courses Details,csjmu_courses_extended_info.pdf
168,Courses,What is the duration of B.Tech program?,"B.Tech. in Mechanical Engineering (AICTE Approved) is a programme offered by CSJMU. The duration of the course is 4 Years. It has 90* + EWS seats available. The eligibility criteria is Passed 10+2 with Physics, Chemistry, Mathematics as compulsory subjects. Minimum of 45% marks in PCM. The annual fee is Rs. 90,200. The admission process is Through CSJM University B.Tech Admission Portal based on JEE Mains Rank.",course_eligibility.json,chunk_5,0.95,0.95,"['duration', 'b.tech', 'program']",Covered,,,
169,Courses,What is the duration of B.Pharm program?,"B. Pharm (Lateral Entry) is a programme offered by CSJMU. The duration of the course is 3 Years. It has 10 seats available. The eligibility criteria is D. Pharm from PCI approved college. The annual fee is Rs. 1,11,200. The admission process is Merit based / Interview.",course_eligibility.json,chunk_51,0.83,0.85,"['duration', 'b.pharm', 'program']",Covered,,,
170,Courses,What is the duration of MBA program?,"MBA (AICTE Approved) is a programme offered by CSJMU. The duration of the course is 2 Years. It has 240 seats available. The eligibility criteria is Graduation with minimum 50% aggregate marks. The annual fee is Rs. 90,200. The admission process is Merit (Group Discussion and P.I. / CAT/SEE/and MAT / as decided by the University).",course_eligibility.json,chunk_136,0.95,0.95,"['duration', 'mba', 'program']",Covered,,,
171,Courses,What is the duration of MCA program?,"Master of Computer Application (MCA) (AICTE Approved) is a programme offered by CSJMU. The duration of the course is 2 Years. It has 120* + EWS seats available. The eligibility criteria is Relevant undergraduate programme from a recognized University. Must have passed Mathematics at 10+2 level or graduation level. The annual fee is Rs. 70,200. The admission process is Through Screening Test conducted by department.",course_eligibility.json,chunk_15,0.95,0.95,"['duration', 'mca', 'program']",Covered,,,
172,Courses,What is the duration of BA LLB program?,"L.L.M. (2 Years) is a programme offered by CSJMU. The duration of the course is 2 Years. It has 65+ EWS seats available. The eligibility criteria is Graduation in any Law (3-year LLB) or Integrated Law program (5-year LLB) with minimum 50% marks. The annual fee is Rs. 65,200. The admission process is Through Screening Test + Interview.",course_eligibility.json,chunk_76,0.95,0.95,"['duration', 'llb', 'program']",Covered,,,
173,Fees,What is the fee structure for B.Tech at UIET Kanpur?,"B.Tech. in Computer Science and Engineering (AICTE Approved) is a programme offered by CSJMU. The duration of the course is 4 Years. It has 180* + EWS seats available. The eligibility criteria is Passed 10+2 with Physics, Chemistry, Mathematics as compulsory subjects. Minimum of 45% marks in PCM. The annual fee is Rs. 1,15,200. The admission process is Through CSJM University B.Tech Admission Portal based on JEE Mains Rank.",course_eligibility.json,chunk_1,0.83,0.85,"['fee', 'structure', 'b.tech']",Covered,,,
174,Fees,What is the annual fee for B.Tech Computer Science?,"B.Tech. in Computer Science and Engineering (AICTE Approved) is a programme offered by CSJMU. The duration of the course is 4 Years. It has 180* + EWS seats available. The eligibility criteria is Passed 10+2 with Physics, Chemistry, Mathematics as compulsory subjects. Minimum of 45% marks in PCM. The annual fee is Rs. 1,15,200. The admission process is Through CSJM University B.Tech Admission Portal based on JEE Mains Rank.",course_eligibility.json,chunk_1,0.95,0.95,"['annual', 'fee', 'b.tech', 'computer', 'science']",Covered,,,
175,Fees,What is the fee for MCA program?,"Master of Computer Application (MCA) (AICTE Approved) is a programme offered by CSJMU. The duration of the course is 2 Years. It has 120* + EWS seats available. The eligibility criteria is Relevant undergraduate programme from a recognized University. Must have passed Mathematics at 10+2 level or graduation level. The annual fee is Rs. 70,200. The admission process is Through Screening Test conducted by department.",course_eligibility.json,chunk_15,0.95,0.95,"['fee', 'mca', 'program']",Covered,,,
176,Fees,What is the fee for MBA program?,"MBA (AICTE Approved) is a programme offered by CSJMU. The duration of the course is 2 Years. It has 240 seats available. The eligibility criteria is Graduation with minimum 50% aggregate marks. The annual fee is Rs. 90,200. The admission process is Merit (Group Discussion and P.I. / CAT/SEE/and MAT / as decided by the University).",course_eligibility.json,chunk_136,0.95,0.95,"['fee', 'mba', 'program']",Covered,,,
177,Fees,What is the hostel fee per year at CSJMU?,"CSJMU hostel facilities overview: Hostel Information


CSJM University, Kanpur provides six on-campus hostels with a total capacity of 1114 students, including two boys’ hostels (Shivaji – 400 seats and Swarn Jayanti – 200 seats) and four girls’ hostels (Ganga – 72 seats, Triveni – 108 seats, Saraswati – 218 seats, and Kaveri – 116 seats). Rooms are available in two-seater and thre...",hostel.txt,chunk_1,0.82,0.86,"['hostel', 'fee', 'per', 'year']",Covered,,,
178,Fees,Is there a refundable caution deposit for hostel or university admission?,"The current hostel document (hostel.txt) outlines general hostel rules and basic amenities but lacks specific fee breakdowns, mess fees, security deposit amounts, refund policies, and 24/7 security room numbers.",hostel.txt,chunk_1,0.55,0.5,"['there', 'refundable', 'caution', 'deposit', 'hostel', 'admission']",Missing,"No hostel fee matrix, mess fee details, security deposit rules, or 24/7 security helpline numbers present in hostel.txt.",Hostel Fees & Rules,csjmu_hostel_fee_matrix_and_helpline.pdf
179,Scholarships,What scholarships are available for CSJMU students?,"No scholarship guidelines, UP government fee reimbursement rules, or financial assistance policies are present in the current knowledge base.",N/A,N/A,0.2,0.1,"['scholarships', 'available', 'students']",Missing,"No document contains scholarship rules, eligibility criteria for financial aid, or application procedure.",Scholarship Guidelines & Concessions,csjmu_scholarship_policy.pdf
180,Scholarships,Can SC/ST/OBC students get UP government fee reimbursement?,Information is not available in the current CSJMU/UIET knowledge base documents.,N/A,N/A,0.15,0.1,"['obc', 'students', 'get', 'government', 'fee', 'reimbursement']",Missing,No document in the knowledge base addresses this specific question regarding Scholarships.,Scholarships Information,csjmu_scholarships_handbook.pdf
181,Scholarships,Are merit scholarships awarded to top performing students?,"No scholarship guidelines, UP government fee reimbursement rules, or financial assistance policies are present in the current knowledge base.",N/A,N/A,0.2,0.1,"['merit', 'scholarships', 'awarded', 'top', 'performing', 'students']",Missing,"No document contains scholarship rules, eligibility criteria for financial aid, or application procedure.",Scholarship Guidelines & Concessions,csjmu_scholarship_policy.pdf
182,Scholarships,How can students apply for National Scholarship Portal (NSP) schemes?,"No scholarship guidelines, UP government fee reimbursement rules, or financial assistance policies are present in the current knowledge base.",N/A,N/A,0.2,0.1,"['students', 'apply', 'national', 'scholarship', 'portal', 'nsp', 'schemes']",Missing,"No document contains scholarship rules, eligibility criteria for financial aid, or application procedure.",Scholarship Guidelines & Concessions,csjmu_scholarship_policy.pdf
183,General,Why should I choose CSJMU Kanpur for higher education?,"ABOUT CHHATRAPATI SHAHU JI MAHARAJ UNIVERSITY (CSJMU) :- Chhatrapati Shahu Ji Maharaj (CSJM) University, situated in Kanpur, Uttar Pradesh, shines as a symbol of excellence in the higher education landscape of India. Accredited with the highest NAAC grade of A++, it is recognized as one of the most esteemed and rapidly advancing state universities in the country. Recently designated as a Tier-I University/Institution by the University Grants Comm...",about_csjm.txt,chunk_0,0.83,0.85,"['choose', 'higher', 'education']",Covered,,,
184,General,What key highlights make CSJMU a leading state university in Uttar Pradesh?,"ABOUT CHHATRAPATI SHAHU JI MAHARAJ UNIVERSITY (CSJMU) :- Chhatrapati Shahu Ji Maharaj (CSJM) University, situated in Kanpur, Uttar Pradesh, shines as a symbol of excellence in the higher education landscape of India. Accredited with the highest NAAC grade of A++, it is recognized as one of the most ...",about_csjm.txt,chunk_0,0.55,0.5,"['key', 'highlights', 'make', 'leading', 'state', 'uttar', 'pradesh']",Partial,Document provides partial context but lacks complete answer details.,General Details,csjmu_general_extended_info.pdf
185,General,What is the NAAC accreditation grade of CSJMU?,"ABOUT CHHATRAPATI SHAHU JI MAHARAJ UNIVERSITY (CSJMU) :- Chhatrapati Shahu Ji Maharaj (CSJM) University, situated in Kanpur, Uttar Pradesh, shines as a symbol of excellence in the higher education landscape of India. Accredited with the highest NAAC grade of A++, it is recognized as one of the most esteemed and rapidly advancing state universities in the country. Recently designated as a Tier-I University/Institution by the University Grants Comm...",about_csjm.txt,chunk_0,0.83,0.85,"['naac', 'accreditation', 'grade']",Covered,,,
186,General,Is CSJMU approved by UGC and AICTE?,"MBA (AICTE Approved) is a programme offered by CSJMU. The duration of the course is 2 Years. It has 240 seats available. The eligibility criteria is Graduation with minimum 50% aggregate marks. The annual fee is Rs. 90,200. The admission process is Merit (Group Discussion and P.I. / CAT/SEE/and MAT / as decided by the University).",course_eligibility.json,chunk_136,0.83,0.85,"['approved', 'ugc', 'aicte']",Covered,,,
187,General,Is Pharmacy Council of India (PCI) approval held by the School of Pharmaceutical Sciences?,Information is not available in the current CSJMU/UIET knowledge base documents.,N/A,N/A,0.15,0.1,"['pharmacy', 'council', 'india', 'pci', 'approval', 'held', 'school', 'pharmaceutical', 'sciences']",Missing,No document in the knowledge base addresses this specific question regarding General.,General Information,csjmu_general_handbook.pdf
188,General,Is Bar Council of India (BCI) approval held by the School of Legal Studies?,Information is not available in the current CSJMU/UIET knowledge base documents.,N/A,N/A,0.15,0.1,"['bar', 'council', 'india', 'bci', 'approval', 'held', 'school', 'legal', 'studies']",Missing,No document in the knowledge base addresses this specific question regarding General.,General Information,csjmu_general_handbook.pdf
189,General,Is NCTE approval held by the School of Teacher Education?,"Integrated Teacher Education Programme (Science) (New) (subject to approval from NCTE) is a programme offered by CSJMU. The duration of the course is 4 Years. It has 50 seats available. The eligibility criteria is 10+2 pass with minimum 50% marks or plus two examination or its equivalent (under 5+3+3+4 pattern) from a recognised board. The annual fee is Rs. 50,000. The admission process is Through National Testing Agency (NTA) and As per NCTE nor...",course_eligibility.json,chunk_103,0.83,0.85,"['ncte', 'approval', 'held', 'school', 'teacher', 'education']",Covered,,,
